"dataset"	"model_code"	"model_mset"	"model_m"	"model_mrate"	"sequence_format"	"matrix_name"	"prefix"	"iqtree_num_threads"	"iqtree_num_bootstraps"	"alignment_file"	"iqtree_file"	"ml_tree_file"	"iqtree2_call"
"Borowiec2015"	"LG_C20"	"'LG+C20'"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Best108"	"Borowiec2015.Best108.LG_C20"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"Borowiec2015.Best108.LG_C20.iqtree"	"Borowiec2015.Best108.LG_C20.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy -mset ''LG+C20''  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Borowiec2015.Best108.LG_C20 "
"Borowiec2015"	"LG_C60"	"'LG+C60'"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Best108"	"Borowiec2015.Best108.LG_C60"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"Borowiec2015.Best108.LG_C60.iqtree"	"Borowiec2015.Best108.LG_C60.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy -mset ''LG+C60''  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Borowiec2015.Best108.LG_C60 "
"Borowiec2015"	"C20"	"C20"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Best108"	"Borowiec2015.Best108.C20"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"Borowiec2015.Best108.C20.iqtree"	"Borowiec2015.Best108.C20.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy -mset 'C20'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Borowiec2015.Best108.C20 "
"Borowiec2015"	"C60"	"C60"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Best108"	"Borowiec2015.Best108.C60"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"Borowiec2015.Best108.C60.iqtree"	"Borowiec2015.Best108.C60.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy -mset 'C60'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Borowiec2015.Best108.C60 "
"Borowiec2015"	"CF4"	"CF4"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Best108"	"Borowiec2015.Best108.CF4"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"Borowiec2015.Best108.CF4.iqtree"	"Borowiec2015.Best108.CF4.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy -mset 'CF4'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Borowiec2015.Best108.CF4 "
"Borowiec2015"	"EHO"	"EHO"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Best108"	"Borowiec2015.Best108.EHO"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"Borowiec2015.Best108.EHO.iqtree"	"Borowiec2015.Best108.EHO.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy -mset 'EHO'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Borowiec2015.Best108.EHO "
"Borowiec2015"	"EX_EHO"	"EX_EHO"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Best108"	"Borowiec2015.Best108.EX_EHO"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"Borowiec2015.Best108.EX_EHO.iqtree"	"Borowiec2015.Best108.EX_EHO.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy -mset 'EX_EHO'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Borowiec2015.Best108.EX_EHO "
"Borowiec2015"	"EX2"	"EX2"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Best108"	"Borowiec2015.Best108.EX2"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"Borowiec2015.Best108.EX2.iqtree"	"Borowiec2015.Best108.EX2.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy -mset 'EX2'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Borowiec2015.Best108.EX2 "
"Borowiec2015"	"EX3"	"EX3"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Best108"	"Borowiec2015.Best108.EX3"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"Borowiec2015.Best108.EX3.iqtree"	"Borowiec2015.Best108.EX3.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy -mset 'EX3'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Borowiec2015.Best108.EX3 "
"Borowiec2015"	"GTR20"	"GTR20"	NA	"E,I,G,I+G,R,I+R"	"aa"	"Best108"	"Borowiec2015.Best108.GTR20"	15	1000	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"Borowiec2015.Best108.GTR20.iqtree"	"Borowiec2015.Best108.GTR20.treefile"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2 -s /mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy -mset 'GTR20'  -mrate 'E,I,G,I+G,R,I+R'  -bb 1000  -nt 15 -pre Borowiec2015.Best108.GTR20 "
