"dataset"	"matrix_name"	"model_code"	"prefix"	"best_model"	"estimated_rates"	"estimated_gamma"	"estimated_state_frequencies"	"constraint_tree_hypothesis"	"constraint_tree_number"	"constraint_tree_id"	"constraint_tree_paths"	"hypothesis_tree_prefixes"	"alignment_path"	"iqtree_path"	"constraint_trees"	"num_threads"	"partitioned"	"partition_file"	"model_mrate"	"num_bootstraps"
"Borowiec2015"	"Best108"	"PMSF_C60"	"Borowiec2015.Best108.PMSF_C60"	"'C60+F+R4':/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/output/pmsf_trees/Borowiec2015.Best108.PMSF_C60.ssfp.sitefreq"	"0.2857,0.0708,0.2625,0.4601,0.2849,1.3212,0.1670,2.8904"	NA	"State frequencies from model"	"Ctenophora-sister"	1	"Borowiec2015.Best108.PMSF_C60.ML_C1"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/output/constraint_trees/Borowiec2015.Best108.constraint_tree_1.nex"	"Borowiec2015.Best108.PMSF_C60.ML_H1"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2"	"((Salpingoeca, Monosiga), (Mnemiopsis, (Amphimedon, (Hydra, Acropora, Nematostella, Strongylocentrotus, Saccoglossus, Branchiostoma, Oikopleura, Ciona, Fugu, Gasterosteus, Latimeria, Xenopus, Homo, Gallus, Anolis, Capitella, Lottia, Pinctada, Caenorhabditis, Brugia, Tetranychus, Ixodes, Strigamia, Daphnia, Acyrthosiphon, Rhodnius, Apis, Bombus, Tribolium, Drosophila, Danaus))));"	3	FALSE	NA	NA	1000
"Borowiec2015"	"Best108"	"PMSF_C60"	"Borowiec2015.Best108.PMSF_C60"	"'C60+F+R4':/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/output/pmsf_trees/Borowiec2015.Best108.PMSF_C60.ssfp.sitefreq"	"0.2857,0.0708,0.2625,0.4601,0.2849,1.3212,0.1670,2.8904"	NA	"State frequencies from model"	"Porifera-sister"	2	"Borowiec2015.Best108.PMSF_C60.ML_C2"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/output/constraint_trees/Borowiec2015.Best108.constraint_tree_2.nex"	"Borowiec2015.Best108.PMSF_C60.ML_H2"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2"	"((Salpingoeca, Monosiga), (Amphimedon, (Mnemiopsis, (Hydra, Acropora, Nematostella, Strongylocentrotus, Saccoglossus, Branchiostoma, Oikopleura, Ciona, Fugu, Gasterosteus, Latimeria, Xenopus, Homo, Gallus, Anolis, Capitella, Lottia, Pinctada, Caenorhabditis, Brugia, Tetranychus, Ixodes, Strigamia, Daphnia, Acyrthosiphon, Rhodnius, Apis, Bombus, Tribolium, Drosophila, Danaus))));"	3	FALSE	NA	NA	1000
"Borowiec2015"	"Best108"	"PMSF_C60"	"Borowiec2015.Best108.PMSF_C60"	"'C60+F+R4':/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/output/pmsf_trees/Borowiec2015.Best108.PMSF_C60.ssfp.sitefreq"	"0.2857,0.0708,0.2625,0.4601,0.2849,1.3212,0.1670,2.8904"	NA	"State frequencies from model"	"(Ctenophora+Porifera)-sister"	3	"Borowiec2015.Best108.PMSF_C60.ML_C3"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/output/constraint_trees/Borowiec2015.Best108.constraint_tree_3.nex"	"Borowiec2015.Best108.PMSF_C60.ML_H3"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Borowiec2015.Best108.aa.alignment.phy"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2"	"((Salpingoeca, Monosiga), ((Mnemiopsis, Amphimedon), (Hydra, Acropora, Nematostella, Strongylocentrotus, Saccoglossus, Branchiostoma, Oikopleura, Ciona, Fugu, Gasterosteus, Latimeria, Xenopus, Homo, Gallus, Anolis, Capitella, Lottia, Pinctada, Caenorhabditis, Brugia, Tetranychus, Ixodes, Strigamia, Daphnia, Acyrthosiphon, Rhodnius, Apis, Bombus, Tribolium, Drosophila, Danaus)));"	3	FALSE	NA	NA	1000
"Chang2015"	"Chang_AA"	"PMSF_LG_C60"	"Chang2015.Chang_AA.PMSF_LG_C60"	"'LG+C60+F+R4':/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/output/pmsf_trees/Chang2015.Chang_AA.PMSF_LG_C60.ssfp.sitefreq"	"0.3734,0.0414,0.2932,0.4745,0.2320,1.6442,0.1014,4.5752"	NA	"State frequencies from model"	"Ctenophora-sister"	1	"Chang2015.Chang_AA.PMSF_LG_C60.ML_C1"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/output/constraint_trees/Chang2015.Chang_AA.constraint_tree_1.nex"	"Chang2015.Chang_AA.PMSF_LG_C60.ML_H1"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2"	"((Ministeria_vibrans_atcc50519, Capsaspora_owczarzaki_atcc30864, Sphaeroforma_arctica_jp610, Amoebidium_parasiticum_JAP72, Monosiga_brevicollis_mx1, Monosiga_ovata, Acanthoeca_like_sp_10tr, Stephanoeca_diplocostata, Salpingoeca_sp_atcc50818), ((Euplokamis_dunlapae, Vallicula_multiformis, Pleurobrachia_pileus, Mnemiopsis_leidyi, Beroe_moroz), ((Leucetta_chagosensis, Sycon_ciliatum, Sycon_coactum, Corticium_candelabrum, Oscarella_carmela, Oscarella_sp_sn2011, Aphrocallistes_vastus, Euplectella_aspergillum, Amphimedon_queenslandica, Chondrilla_nucula, Ephydatia_muelleri, Ircinia_fasciculata, Petrosia_ficiformis), (Nanomia_bijuga, Hydractinia_polyclina, Clytia_hemisphaerica, Hydra_magnipapillata, Ectopleura_larynx, Craspedacusta_sowerbyi, Tripedalia_cystophora, Cyanea_capillata, Stomolophus_meleagris, Aurelia_aurita, Polypodium_hydriforme, Tetracapsuloides_bryosalmonae, Buddenbrockia_plumatellae, Enteromyxum_leei, Kudoa_iwatai, Sphaeromyxa_zaharoni, Thelohanellus_kitauei, Myxobolus_cerebralis, Gorgonia_ventalina, Eunicella_cavolinii, Pocillopora_damicornis, Montastraea_faveolata, Porites_australiensis, Acropora_cervicornis, Nematostella_vectensis, Edwardsiella_lineata, Urticina_eques, Bolocera_tuediae, Hormathia_digitata, Aiptasia_pallida, Latimeria_menadoensis, Homo_sapiens, Petromyzon_marinus, Ciona_intestinalis, Botryllus_schlosseri, Branchiostoma_floridae, Saccoglossus_kowalevskii, Strongylocentrotus_purpuratus, Patiria_miniata, Pediculus_humanus_corporis, Nasonia_vitripennis, Daphnia_pulex, Strigamia_maritima, Ixodes_scapularis, Helobdella_robusta, Capitella_teleta, Octopus_vulgaris, Ilyanassa_obsoleta, Crassostrea_gigas))));"	3	FALSE	NA	NA	1000
"Chang2015"	"Chang_AA"	"PMSF_LG_C60"	"Chang2015.Chang_AA.PMSF_LG_C60"	"'LG+C60+F+R4':/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/output/pmsf_trees/Chang2015.Chang_AA.PMSF_LG_C60.ssfp.sitefreq"	"0.3734,0.0414,0.2932,0.4745,0.2320,1.6442,0.1014,4.5752"	NA	"State frequencies from model"	"Porifera-sister"	2	"Chang2015.Chang_AA.PMSF_LG_C60.ML_C2"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/output/constraint_trees/Chang2015.Chang_AA.constraint_tree_2.nex"	"Chang2015.Chang_AA.PMSF_LG_C60.ML_H2"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2"	"((Ministeria_vibrans_atcc50519, Capsaspora_owczarzaki_atcc30864, Sphaeroforma_arctica_jp610, Amoebidium_parasiticum_JAP72, Monosiga_brevicollis_mx1, Monosiga_ovata, Acanthoeca_like_sp_10tr, Stephanoeca_diplocostata, Salpingoeca_sp_atcc50818), ((Leucetta_chagosensis, Sycon_ciliatum, Sycon_coactum, Corticium_candelabrum, Oscarella_carmela, Oscarella_sp_sn2011, Aphrocallistes_vastus, Euplectella_aspergillum, Amphimedon_queenslandica, Chondrilla_nucula, Ephydatia_muelleri, Ircinia_fasciculata, Petrosia_ficiformis), ((Euplokamis_dunlapae, Vallicula_multiformis, Pleurobrachia_pileus, Mnemiopsis_leidyi, Beroe_moroz), (Nanomia_bijuga, Hydractinia_polyclina, Clytia_hemisphaerica, Hydra_magnipapillata, Ectopleura_larynx, Craspedacusta_sowerbyi, Tripedalia_cystophora, Cyanea_capillata, Stomolophus_meleagris, Aurelia_aurita, Polypodium_hydriforme, Tetracapsuloides_bryosalmonae, Buddenbrockia_plumatellae, Enteromyxum_leei, Kudoa_iwatai, Sphaeromyxa_zaharoni, Thelohanellus_kitauei, Myxobolus_cerebralis, Gorgonia_ventalina, Eunicella_cavolinii, Pocillopora_damicornis, Montastraea_faveolata, Porites_australiensis, Acropora_cervicornis, Nematostella_vectensis, Edwardsiella_lineata, Urticina_eques, Bolocera_tuediae, Hormathia_digitata, Aiptasia_pallida, Latimeria_menadoensis, Homo_sapiens, Petromyzon_marinus, Ciona_intestinalis, Botryllus_schlosseri, Branchiostoma_floridae, Saccoglossus_kowalevskii, Strongylocentrotus_purpuratus, Patiria_miniata, Pediculus_humanus_corporis, Nasonia_vitripennis, Daphnia_pulex, Strigamia_maritima, Ixodes_scapularis, Helobdella_robusta, Capitella_teleta, Octopus_vulgaris, Ilyanassa_obsoleta, Crassostrea_gigas))));"	3	FALSE	NA	NA	1000
"Chang2015"	"Chang_AA"	"PMSF_LG_C60"	"Chang2015.Chang_AA.PMSF_LG_C60"	"'LG+C60+F+R4':/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/output/pmsf_trees/Chang2015.Chang_AA.PMSF_LG_C60.ssfp.sitefreq"	"0.3734,0.0414,0.2932,0.4745,0.2320,1.6442,0.1014,4.5752"	NA	"State frequencies from model"	"(Ctenophora+Porifera)-sister"	3	"Chang2015.Chang_AA.PMSF_LG_C60.ML_C3"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/output/constraint_trees/Chang2015.Chang_AA.constraint_tree_3.nex"	"Chang2015.Chang_AA.PMSF_LG_C60.ML_H3"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2"	"((Ministeria_vibrans_atcc50519, Capsaspora_owczarzaki_atcc30864, Sphaeroforma_arctica_jp610, Amoebidium_parasiticum_JAP72, Monosiga_brevicollis_mx1, Monosiga_ovata, Acanthoeca_like_sp_10tr, Stephanoeca_diplocostata, Salpingoeca_sp_atcc50818), (((Euplokamis_dunlapae, Vallicula_multiformis, Pleurobrachia_pileus, Mnemiopsis_leidyi, Beroe_moroz), (Leucetta_chagosensis, Sycon_ciliatum, Sycon_coactum, Corticium_candelabrum, Oscarella_carmela, Oscarella_sp_sn2011, Aphrocallistes_vastus, Euplectella_aspergillum, Amphimedon_queenslandica, Chondrilla_nucula, Ephydatia_muelleri, Ircinia_fasciculata, Petrosia_ficiformis)), (Nanomia_bijuga, Hydractinia_polyclina, Clytia_hemisphaerica, Hydra_magnipapillata, Ectopleura_larynx, Craspedacusta_sowerbyi, Tripedalia_cystophora, Cyanea_capillata, Stomolophus_meleagris, Aurelia_aurita, Polypodium_hydriforme, Tetracapsuloides_bryosalmonae, Buddenbrockia_plumatellae, Enteromyxum_leei, Kudoa_iwatai, Sphaeromyxa_zaharoni, Thelohanellus_kitauei, Myxobolus_cerebralis, Gorgonia_ventalina, Eunicella_cavolinii, Pocillopora_damicornis, Montastraea_faveolata, Porites_australiensis, Acropora_cervicornis, Nematostella_vectensis, Edwardsiella_lineata, Urticina_eques, Bolocera_tuediae, Hormathia_digitata, Aiptasia_pallida, Latimeria_menadoensis, Homo_sapiens, Petromyzon_marinus, Ciona_intestinalis, Botryllus_schlosseri, Branchiostoma_floridae, Saccoglossus_kowalevskii, Strongylocentrotus_purpuratus, Patiria_miniata, Pediculus_humanus_corporis, Nasonia_vitripennis, Daphnia_pulex, Strigamia_maritima, Ixodes_scapularis, Helobdella_robusta, Capitella_teleta, Octopus_vulgaris, Ilyanassa_obsoleta, Crassostrea_gigas)));"	3	FALSE	NA	NA	1000
"Chang2015"	"Chang_AA"	"PMSF_LG_C60"	"Chang2015.Chang_AA.PMSF_LG_C60"	"'LG+C60+F+R4':/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/output/pmsf_trees/Chang2015.Chang_AA.PMSF_LG_C60.ssfp.sitefreq"	"0.3734,0.0414,0.2932,0.4745,0.2320,1.6442,0.1014,4.5752"	NA	"State frequencies from model"	"Ctenophora-sister (Paraphyletic sponges)"	4	"Chang2015.Chang_AA.PMSF_LG_C60.ML_C4"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/output/constraint_trees/Chang2015.Chang_AA.constraint_tree_4.nex"	"Chang2015.Chang_AA.PMSF_LG_C60.ML_H4"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2"	"((Ministeria_vibrans_atcc50519, Capsaspora_owczarzaki_atcc30864, Sphaeroforma_arctica_jp610, Amoebidium_parasiticum_JAP72, Monosiga_brevicollis_mx1, Monosiga_ovata, Acanthoeca_like_sp_10tr, Stephanoeca_diplocostata, Salpingoeca_sp_atcc50818), ((Euplokamis_dunlapae, Vallicula_multiformis, Pleurobrachia_pileus, Mnemiopsis_leidyi, Beroe_moroz), ((Leucetta_chagosensis, Sycon_ciliatum, Sycon_coactum, Corticium_candelabrum, Oscarella_carmela, Oscarella_sp_sn2011), ((Aphrocallistes_vastus, Euplectella_aspergillum, Amphimedon_queenslandica, Chondrilla_nucula, Ephydatia_muelleri, Ircinia_fasciculata, Petrosia_ficiformis), (Nanomia_bijuga, Hydractinia_polyclina, Clytia_hemisphaerica, Hydra_magnipapillata, Ectopleura_larynx, Craspedacusta_sowerbyi, Tripedalia_cystophora, Cyanea_capillata, Stomolophus_meleagris, Aurelia_aurita, Polypodium_hydriforme, Tetracapsuloides_bryosalmonae, Buddenbrockia_plumatellae, Enteromyxum_leei, Kudoa_iwatai, Sphaeromyxa_zaharoni, Thelohanellus_kitauei, Myxobolus_cerebralis, Gorgonia_ventalina, Eunicella_cavolinii, Pocillopora_damicornis, Montastraea_faveolata, Porites_australiensis, Acropora_cervicornis, Nematostella_vectensis, Edwardsiella_lineata, Urticina_eques, Bolocera_tuediae, Hormathia_digitata, Aiptasia_pallida, Latimeria_menadoensis, Homo_sapiens, Petromyzon_marinus, Ciona_intestinalis, Botryllus_schlosseri, Branchiostoma_floridae, Saccoglossus_kowalevskii, Strongylocentrotus_purpuratus, Patiria_miniata, Pediculus_humanus_corporis, Nasonia_vitripennis, Daphnia_pulex, Strigamia_maritima, Ixodes_scapularis, Helobdella_robusta, Capitella_teleta, Octopus_vulgaris, Ilyanassa_obsoleta, Crassostrea_gigas)))));"	3	FALSE	NA	NA	1000
"Chang2015"	"Chang_AA"	"PMSF_LG_C60"	"Chang2015.Chang_AA.PMSF_LG_C60"	"'LG+C60+F+R4':/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/output/pmsf_trees/Chang2015.Chang_AA.PMSF_LG_C60.ssfp.sitefreq"	"0.3734,0.0414,0.2932,0.4745,0.2320,1.6442,0.1014,4.5752"	NA	"State frequencies from model"	"Porifera-sister (Paraphyletic sponges)"	5	"Chang2015.Chang_AA.PMSF_LG_C60.ML_C5"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/output/constraint_trees/Chang2015.Chang_AA.constraint_tree_5.nex"	"Chang2015.Chang_AA.PMSF_LG_C60.ML_H5"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Chang2015.Chang_AA.aa.alignment.phy"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2"	"((Ministeria_vibrans_atcc50519, Capsaspora_owczarzaki_atcc30864, Sphaeroforma_arctica_jp610, Amoebidium_parasiticum_JAP72, Monosiga_brevicollis_mx1, Monosiga_ovata, Acanthoeca_like_sp_10tr, Stephanoeca_diplocostata, Salpingoeca_sp_atcc50818), ((Leucetta_chagosensis, Sycon_ciliatum, Sycon_coactum, Corticium_candelabrum, Oscarella_carmela, Oscarella_sp_sn2011), ((Aphrocallistes_vastus, Euplectella_aspergillum, Amphimedon_queenslandica, Chondrilla_nucula, Ephydatia_muelleri, Ircinia_fasciculata, Petrosia_ficiformis), ((Euplokamis_dunlapae, Vallicula_multiformis, Pleurobrachia_pileus, Mnemiopsis_leidyi, Beroe_moroz), (Nanomia_bijuga, Hydractinia_polyclina, Clytia_hemisphaerica, Hydra_magnipapillata, Ectopleura_larynx, Craspedacusta_sowerbyi, Tripedalia_cystophora, Cyanea_capillata, Stomolophus_meleagris, Aurelia_aurita, Polypodium_hydriforme, Tetracapsuloides_bryosalmonae, Buddenbrockia_plumatellae, Enteromyxum_leei, Kudoa_iwatai, Sphaeromyxa_zaharoni, Thelohanellus_kitauei, Myxobolus_cerebralis, Gorgonia_ventalina, Eunicella_cavolinii, Pocillopora_damicornis, Montastraea_faveolata, Porites_australiensis, Acropora_cervicornis, Nematostella_vectensis, Edwardsiella_lineata, Urticina_eques, Bolocera_tuediae, Hormathia_digitata, Aiptasia_pallida, Latimeria_menadoensis, Homo_sapiens, Petromyzon_marinus, Ciona_intestinalis, Botryllus_schlosseri, Branchiostoma_floridae, Saccoglossus_kowalevskii, Strongylocentrotus_purpuratus, Patiria_miniata, Pediculus_humanus_corporis, Nasonia_vitripennis, Daphnia_pulex, Strigamia_maritima, Ixodes_scapularis, Helobdella_robusta, Capitella_teleta, Octopus_vulgaris, Ilyanassa_obsoleta, Crassostrea_gigas)))));"	3	FALSE	NA	NA	1000
"Dunn2008"	"Dunn2008_FixedNames"	"PMSF_C60"	"Dunn2008.Dunn2008_FixedNames.PMSF_C60"	"'C60+F+R4':/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/output/pmsf_trees/Dunn2008.Dunn2008_FixedNames.PMSF_C60.ssfp.sitefreq"	"0.2770,0.0709,0.2693,0.4203,0.2641,1.2194,0.1896,2.8750"	NA	"State frequencies from model"	"Ctenophora-sister"	1	"Dunn2008.Dunn2008_FixedNames.PMSF_C60.ML_C1"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/output/constraint_trees/Dunn2008.Dunn2008_FixedNames.constraint_tree_1.nex"	"Dunn2008.Dunn2008_FixedNames.PMSF_C60.ML_H1"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Dunn2008.Dunn2008_FixedNames.aa.alignment.fasta"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2"	"((Monosiga_ovata, Capsaspora_owczarzaki, Sphaeroforma_arctica, Saccharomyces_cerevisiae, Cryptococcus_neoformans, Amoebidium_parasiticum), ((Mertensiid_sp, Mnemiopsis_leidyi), (Oscarella_carmela, (Acropora_millepora, Nematostella_vectensis, Cyanea_capillata, Hydra_magnipapillata, Hydractinia_echinata, Acanthoscurria_gomesiana, Anoplodactylus_eroticus, Aplysia_californica, Argopecten_irradians, Asterina_pectinifera, Biomphalaria_glabrata, Boophilus_microplus, Branchiostoma_floridae, Capitella_sp, Carcinoscorpius_rotundicauda, Carcinus_maenas, Carinoma_mutabilis, Cerebratulus_lacteus, Chaetoderma_nitidulum, Chaetopleura_apiculata, Chaetopterus_variopedatus, Ciona_intestinalis, Crassostrea_virginica, Daphnia_magna, Drosophila_melanogaster, Dugesia_japonica, Echinococcus_granulosus, Echinoderes_horni, Euperipatoides_kanangrensis, Euprymna_scolopes, Fenneropenaeus_chinensis, Gallus_gallus, Haementeria_depressa, Homo_sapiens, Hypsibius_dujardini, Lumbricus_rubellus, Macrostomum_lignano, Mytilus_galloprovincialis, Paraplanocera_oligoglena, Phoronis_vancouverensis, Platynereis_dumerilii, Priapulus_caudatus, Ptychodera_flava, Richtersius_coronifer, Saccoglossus_kowalevskii, Schmidtea_mediterranea, Scutigera_coleoptrata, Spinochordodes_tellinii, Strongylocentrotus_purpuratus, Terebratalia_transversa, Themiste_lageniformis, Trichinella_spiralis, Urechis_caupo, Xenoturbella_bocki, Xiphinema_index))));"	3	FALSE	NA	NA	1000
"Dunn2008"	"Dunn2008_FixedNames"	"PMSF_C60"	"Dunn2008.Dunn2008_FixedNames.PMSF_C60"	"'C60+F+R4':/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/output/pmsf_trees/Dunn2008.Dunn2008_FixedNames.PMSF_C60.ssfp.sitefreq"	"0.2770,0.0709,0.2693,0.4203,0.2641,1.2194,0.1896,2.8750"	NA	"State frequencies from model"	"Porifera-sister"	2	"Dunn2008.Dunn2008_FixedNames.PMSF_C60.ML_C2"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/output/constraint_trees/Dunn2008.Dunn2008_FixedNames.constraint_tree_2.nex"	"Dunn2008.Dunn2008_FixedNames.PMSF_C60.ML_H2"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/data_all/Dunn2008.Dunn2008_FixedNames.aa.alignment.fasta"	"/mnt/data/dayhoff/home/u5348329/metazoan-mixtures/iqtree/iqtree-2.2.0-Linux/bin/iqtree2"	"((Monosiga_ovata, Capsaspora_owczarzaki, Sphaeroforma_arctica, Saccharomyces_cerevisiae, Cryptococcus_neoformans, Amoebidium_parasiticum), (Oscarella_carmela, ((Mertensiid_sp, Mnemiopsis_leidyi), (Acropora_millepora, Nematostella_vectensis, Cyanea_capillata, Hydra_magnipapillata, Hydractinia_echinata, Acanthoscurria_gomesiana, Anoplodactylus_eroticus, Aplysia_californica, Argopecten_irradians, Asterina_pectinifera, Biomphalaria_glabrata, Boophilus_microplus, Branchiostoma_floridae, Capitella_sp, Carcinoscorpius_rotundicauda, Carcinus_maenas, Carinoma_mutabilis, Cerebratulus_lacteus, Chaetoderma_nitidulum, Chaetopleura_apiculata, Chaetopterus_variopedatus, Ciona_intestinalis, Crassostrea_virginica, Daphnia_magna, Drosophila_melanogaster, Dugesia_japonica, Echinococcus_granulosus, Echinoderes_horni, Euperipatoides_kanangrensis, Euprymna_scolopes, Fenneropenaeus_chinensis, Gallus_gallus, Haementeria_depressa, Homo_sapiens, Hypsibius_dujardini, Lumbricus_rubellus, Macrostomum_lignano, Mytilus_galloprovincialis, Paraplanocera_oligoglena, Phoronis_vancouverensis, Platynereis_dumerilii, Priapulus_caudatus, Ptychodera_flava, Richtersius_coronifer, Saccoglossus_kowalevskii, Schmidtea_mediterranea, Scutigera_coleoptrata, Spinochordodes_tellinii, Strongylocentrotus_purpuratus, Terebratalia_transversa, Themiste_lageniformis, Trichinella_spiralis, Urechis_caupo, Xenoturbella_bocki, Xiphinema_index))));"	3	FALSE	NA	NA	1000
